Timestamp,Q_w,Q_x,Q_y,Q_z
2025-03-27 16:53:09.779,0.52,-0.98,-0.66,-0.33
2025-03-27 16:53:09.784,0.7,0.18,0.98,1.16
2025-03-27 16:53:09.788,0.52,0.22,-0.51,0.03
2025-03-27 16:53:09.792,1.05,-0.16,-0.63,-1.69
2025-03-27 16:53:09.796,0.87,-0.37,1.49,1.21
2025-03-27 16:53:09.801,0.52,-1.58,1.51,-0.5
2025-03-27 16:53:09.823,1.05,0.8,-0.62,-1.18
2025-03-27 16:53:09.828,1.22,0.91,-0.13,1.24
2025-03-27 16:53:09.832,0.52,1.81,-1.4,1.74
2025-03-27 16:53:09.856,1.05,0.1,1.5,1.53
2025-03-27 16:53:09.860,1.22,1.62,1.76,1.04
2025-03-27 16:53:09.865,0.7,1.93,-1.72,0.36
2025-03-27 16:53:09.872,1.05,-0.38,1.68,1.4
2025-03-27 16:53:09.889,1.22,1.2,1.31,0.62
2025-03-27 16:53:09.893,0.87,-1.57,-1.5,-0.93
2025-03-27 16:53:09.906,1.05,-0.67,-1.6,1.03
2025-03-27 16:53:09.923,1.05,-0.33,-0.92,0.11
2025-03-27 16:53:09.927,0.87,0.66,0.37,0.08
2025-03-27 16:53:09.931,1.05,-1.88,-1.19,-1.65
2025-03-27 16:53:09.956,1.05,-0.4,1.33,-0.81
2025-03-27 16:53:09.961,0.87,-1.35,-0.9,1.76
2025-03-27 16:53:09.965,1.05,0.31,0.89,0.23
2025-03-27 16:53:09.973,1.05,-1.16,-0.4,-0.9
2025-03-27 16:53:09.989,0.7,-1.11,0.44,-0.99
2025-03-27 16:53:09.994,0.7,-1.31,-0.41,0.68
2025-03-27 16:53:10.006,1.22,1.81,-1.2,1.0
2025-03-27 16:53:10.023,0.7,-0.87,-0.8,-0.83
2025-03-27 16:53:10.027,0.87,-0.39,-1.65,1.02
2025-03-27 16:53:10.031,0.87,0.21,0.26,1.0
2025-03-27 16:53:10.056,0.17,0.42,0.6,0.04
2025-03-27 16:53:10.061,0.52,-1.95,0.61,-0.12
2025-03-27 16:53:10.065,1.05,1.36,1.76,1.39
2025-03-27 16:53:10.073,0.7,-1.28,-0.1,-0.19
2025-03-27 16:53:10.089,0.7,-1.34,0.82,0.68
2025-03-27 16:53:10.094,1.22,-0.9,-0.46,-0.65
2025-03-27 16:53:10.106,0.87,1.14,-0.75,-1.78
2025-03-27 16:53:10.122,0.7,0.02,-0.96,0.9
2025-03-27 16:53:10.126,1.05,1.0,-1.27,-0.64
2025-03-27 16:53:10.131,0.7,-0.73,0.62,1.01
2025-03-27 16:53:10.156,1.05,1.01,-0.93,-0.89
2025-03-27 16:53:10.160,1.05,-0.57,-1.01,0.98
2025-03-27 16:53:10.165,0.87,1.22,1.22,0.32
2025-03-27 16:53:10.172,0.87,-0.24,0.16,0.8
2025-03-27 16:53:10.189,1.05,1.45,1.42,1.65
2025-03-27 16:53:10.194,0.7,0.82,-1.9,1.94
2025-03-27 16:53:10.206,1.05,0.03,-0.99,-0.29
2025-03-27 16:53:10.223,1.05,0.51,0.09,1.09
2025-03-27 16:53:10.227,0.52,1.11,-0.34,-1.73
2025-03-27 16:53:10.231,0.87,-1.3,0.4,0.11
2025-03-27 16:53:10.256,1.05,0.84,1.92,1.47
2025-03-27 16:53:10.260,0.7,1.11,-1.04,-1.69
2025-03-27 16:53:10.264,0.87,-1.88,1.28,0.71
2025-03-27 16:53:10.273,1.05,1.06,-1.67,0.11
2025-03-27 16:53:10.289,0.7,-0.03,0.41,0.0
2025-03-27 16:53:10.293,1.05,-1.74,1.36,-0.56
2025-03-27 16:53:10.306,0.7,0.03,1.58,0.57
2025-03-27 16:53:10.323,0.52,1.9,0.84,1.24
2025-03-27 16:53:10.327,1.05,-0.97,1.92,1.9
2025-03-27 16:53:10.331,1.05,-1.28,1.24,0.34
2025-03-27 16:53:10.356,0.7,0.77,0.59,-1.96
2025-03-27 16:53:10.360,0.87,0.97,0.67,-0.13
2025-03-27 16:53:10.364,0.87,1.61,0.09,-0.36
2025-03-27 16:53:10.372,0.52,1.84,0.39,-0.26
2025-03-27 16:53:10.389,0.87,-1.75,-2.0,-1.17
2025-03-27 16:53:10.393,0.87,0.75,0.74,1.92
2025-03-27 16:53:10.405,0.7,1.61,1.93,1.24
2025-03-27 16:53:10.422,1.22,1.02,-1.6,1.89
2025-03-27 16:53:10.426,1.22,-1.62,0.53,-0.98
