Timestamp,Q_w,Q_x,Q_y,Q_z
2025-03-27 17:58:31.826,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.836,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.853,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.859,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.870,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.877,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.887,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.905,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.911,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.917,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.936,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.941,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.949,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.955,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.971,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.975,1.0,0.05,-0.04,0.01
2025-03-27 17:58:31.987,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.003,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.008,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.019,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.025,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.036,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.052,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.056,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.069,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.085,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.090,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.096,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.120,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.125,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.130,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.135,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.152,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.157,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.170,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.177,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.187,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.205,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.210,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.217,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.236,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.240,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.245,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.268,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.273,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.278,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.286,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.302,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.306,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.318,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.335,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.339,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.345,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.369,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.372,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.377,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.385,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.402,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.407,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.418,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.435,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.440,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.445,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.468,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.473,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.477,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.485,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.502,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.506,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.518,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.535,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.539,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.551,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.556,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.568,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.585,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.589,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.601,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.606,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.618,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.635,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.639,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.651,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.656,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.668,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.685,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.689,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.701,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.706,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.718,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.735,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.739,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.752,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.757,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.768,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.785,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.790,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.795,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.819,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.823,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.827,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.835,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.852,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.856,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.868,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.885,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.889,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.901,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.906,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.918,1.0,0.05,-0.04,0.01
2025-03-27 17:58:32.935,1.0,0.05,-0.04,0.01
