Timestamp,Q_w,Q_x,Q_y,Q_z
2025-03-27 16:39:45.808,1.0,0.0,-0.0,0.0
2025-03-27 16:39:45.809,1.0,0.0,-0.0,0.0
2025-03-27 16:39:45.809,1.0,0.0,-0.0,0.0
2025-03-27 16:39:45.809,1.0,0.0,-0.0,0.0
2025-03-27 16:39:45.817,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.833,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.850,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.850,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.866,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.867,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.883,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.900,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.900,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.916,1.0,0.01,-0.0,0.0
2025-03-27 16:39:45.917,1.0,0.01,-0.01,0.0
2025-03-27 16:39:45.933,1.0,0.01,-0.01,0.0
2025-03-27 16:39:45.950,1.0,0.01,-0.01,0.0
2025-03-27 16:39:45.950,1.0,0.01,-0.01,0.0
2025-03-27 16:39:45.966,1.0,0.01,-0.01,0.0
2025-03-27 16:39:45.967,1.0,0.01,-0.01,0.0
2025-03-27 16:39:45.983,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.000,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.000,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.016,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.017,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.033,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.050,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.050,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.066,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.067,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.083,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.099,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.100,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.116,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.117,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.133,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.150,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.150,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.166,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.166,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.183,1.0,0.01,-0.01,0.0
2025-03-27 16:39:46.199,1.0,0.01,-0.01,0.0
