t,w,x,y,z,ax,ay,az
15,1,0,-0,0.01,0,0.02,0.99
7,1,0,-0,0.01,0,-0,0.99
8,1,0,-0,0.01,0,-0.01,0.99
8,1,0,-0,0.01,-0,0,0.99
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
9,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,0,0,1
9,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
9,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
8,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,-0,0,1
9,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,-0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
9,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,0,0,1
7,1,0,-0,0.01,-0,0,1
8,1,0,-0,0.01,0,-0,1
7,1,0,-0,0.01,-0.02,0.02,1
7,1,0,-0,0.01,-0.06,0.01,1
7,1,0,0,0.01,-0.09,0.01,1
8,1,0,0,0,-0.04,0.04,1
8,1,0,-0,-0,0.05,0.07,1
7,1,0,-0,-0,0.05,0.06,1.02
7,1,0,-0,-0,-0.02,0.02,1.03
7,1,0,-0,-0,-0.05,-0,1.06
9,1,-0,-0,-0,-0.04,-0.01,1.09
7,1,-0,-0.01,-0,-0.04,-0.02,1.13
7,1,-0.01,-0.01,-0,-0.04,-0.02,1.18
7,1,-0.02,-0.01,-0,-0.05,-0.02,1.23
9,1,-0.02,-0.01,-0,-0.03,-0.03,1.29
7,1,-0.03,-0.01,-0,0,-0.04,1.34
7,1,-0.04,0,-0,0.01,-0.05,1.35
7,1,-0.05,0.02,-0,-0.03,-0.06,1.33
8,1,-0.06,0.03,-0,-0.09,-0.09,1.3
7,1,-0.07,0.04,-0.01,-0.14,-0.12,1.27
7,1,-0.08,0.05,-0.01,-0.17,-0.15,1.24
7,0.99,-0.09,0.05,-0.01,-0.18,-0.16,1.22
7,0.99,-0.1,0.04,-0.01,-0.16,-0.18,1.21
9,0.99,-0.1,0.03,-0,-0.12,-0.18,1.18
7,0.99,-0.11,0.03,-0,-0.1,-0.18,1.14
7,0.99,-0.11,0.02,0,-0.07,-0.18,1.1
7,0.99,-0.12,0.01,0,-0.06,-0.19,1.07
9,0.99,-0.13,0.01,0,-0.05,-0.21,1.05
7,0.99,-0.15,0.01,0,-0.03,-0.23,1.01
7,0.99,-0.16,0.01,0,-0.03,-0.23,0.96
7,0.98,-0.17,0.01,0,-0.02,-0.24,0.94
9,0.98,-0.19,0,0,-0.01,-0.25,0.93
7,0.98,-0.2,-0,0,0,-0.27,0.92
