Timestamp,Q_w,Q_x,Q_y,Q_z
2025-03-27 16:51:14.799,0.87,1.51,-1.96,1.05
2025-03-27 16:51:14.804,1.05,1.28,1.02,1.48
2025-03-27 16:51:14.808,1.05,-0.54,1.12,1.22
2025-03-27 16:51:14.824,0.87,-1.29,-0.11,1.61
2025-03-27 16:51:14.828,1.22,1.5,1.69,-1.6
2025-03-27 16:51:14.841,1.92,0.37,0.24,0.12
2025-03-27 16:51:14.858,1.57,-0.88,-0.09,1.56
2025-03-27 16:51:14.863,1.4,1.88,0.09,-1.14
2025-03-27 16:51:14.867,1.57,0.0,-1.66,-0.69
2025-03-27 16:51:14.891,0.52,-0.17,1.31,-1.98
2025-03-27 16:51:14.896,0.52,1.26,1.2,1.4
2025-03-27 16:51:14.900,0.7,1.98,-1.66,0.45
2025-03-27 16:51:14.907,0.35,-0.01,1.06,-1.87
2025-03-27 16:51:14.924,0.52,-0.01,-1.44,0.67
2025-03-27 16:51:14.929,0.87,1.88,-1.96,0.57
2025-03-27 16:51:14.942,0.7,1.54,-0.05,-0.73
2025-03-27 16:51:14.946,1.22,1.21,-1.26,-1.92
2025-03-27 16:51:14.957,1.57,1.05,1.2,0.14
2025-03-27 16:51:14.975,1.05,0.03,-0.34,0.11
2025-03-27 16:51:14.979,1.4,-1.11,1.06,-0.4
2025-03-27 16:51:14.992,1.22,-0.08,-1.19,-0.21
2025-03-27 16:51:14.997,0.87,0.1,-1.93,1.48
2025-03-27 16:51:15.008,0.7,-1.56,-0.92,-0.21
2025-03-27 16:51:15.025,0.87,-0.33,-1.32,0.25
2025-03-27 16:51:15.029,0.35,1.14,-0.16,0.11
2025-03-27 16:51:15.042,0.87,1.25,-0.7,-1.06
2025-03-27 16:51:15.058,1.92,-1.58,-1.38,1.68
2025-03-27 16:51:15.062,-1.38,-1.41,1.02,0.41
2025-03-27 16:51:15.068,-1.21,-1.29,-0.4,-1.17
2025-03-27 16:51:15.092,-1.73,0.68,1.49,-1.35
2025-03-27 16:51:15.096,0.87,-0.65,-1.03,-1.41
2025-03-27 16:51:15.100,0.7,-0.14,0.64,-0.63
2025-03-27 16:51:15.108,0.7,1.7,-1.9,1.41
2025-03-27 16:51:15.125,0.52,-1.18,-0.17,-1.0
2025-03-27 16:51:15.129,1.05,0.19,-1.92,1.07
2025-03-27 16:51:15.142,1.22,-0.53,1.27,-1.51
2025-03-27 16:51:15.147,1.05,-0.64,1.83,0.68
2025-03-27 16:51:15.158,-1.73,0.11,0.85,-1.47
2025-03-27 16:51:15.175,1.75,0.64,-1.01,1.62
2025-03-27 16:51:15.179,1.22,-0.6,-1.15,-0.93
2025-03-27 16:51:15.192,1.22,-1.82,1.36,1.19
2025-03-27 16:51:15.208,1.05,-0.93,1.41,0.07
2025-03-27 16:51:15.212,0.52,-1.5,0.71,0.05
2025-03-27 16:51:15.217,0.7,-0.61,0.68,-1.44
2025-03-27 16:51:15.242,1.22,0.86,1.15,1.4
2025-03-27 16:51:15.246,0.87,1.53,-0.05,1.1
2025-03-27 16:51:15.250,0.87,1.28,-0.93,-0.01
2025-03-27 16:51:15.258,1.05,0.86,1.92,-1.31
2025-03-27 16:51:15.275,0.87,0.55,0.11,-1.77
2025-03-27 16:51:15.279,0.87,-1.63,0.98,1.14
2025-03-27 16:51:15.292,1.22,0.11,0.65,0.51
2025-03-27 16:51:15.308,0.7,0.08,0.88,-0.12
2025-03-27 16:51:15.313,0.87,1.93,1.3,0.32
2025-03-27 16:51:15.318,1.05,0.52,-0.27,1.22
2025-03-27 16:51:15.342,0.52,0.96,1.03,-0.01
2025-03-27 16:51:15.346,0.7,0.86,1.81,1.47
2025-03-27 16:51:15.350,0.87,0.95,-0.71,1.32
2025-03-27 16:51:15.358,0.17,1.76,1.93,-1.15
2025-03-27 16:51:15.375,0.52,-0.59,-1.93,-1.34
2025-03-27 16:51:15.379,0.7,-0.02,1.6,0.16
2025-03-27 16:51:15.392,0.35,-0.99,-0.13,1.67
2025-03-27 16:51:15.408,0.52,-1.22,0.64,0.59
2025-03-27 16:51:15.413,0.7,0.49,1.45,-1.85
2025-03-27 16:51:15.418,-0.7,0.2,1.64,1.33
2025-03-27 16:51:15.442,-1.22,0.8,-0.34,-0.58
2025-03-27 16:51:15.446,-1.4,-1.46,0.32,-0.59
2025-03-27 16:51:15.450,-1.22,-0.09,0.31,0.55
2025-03-27 16:51:15.458,-0.17,0.66,0.8,-0.4
2025-03-27 16:51:15.475,0.17,-0.82,0.91,-1.36
2025-03-27 16:51:15.479,0.35,1.28,-0.88,1.37
2025-03-27 16:51:15.491,0.17,-1.6,-1.95,0.51
2025-03-27 16:51:15.508,0.35,-1.66,0.2,1.52
2025-03-27 16:51:15.512,0.35,1.47,1.7,-1.74
2025-03-27 16:51:15.517,0.52,1.41,-1.86,-1.51
2025-03-27 16:51:15.541,0.87,-0.67,-1.61,2.0
2025-03-27 16:51:15.545,0.35,0.65,-1.02,-0.01
2025-03-27 16:51:15.550,1.05,0.4,-0.59,-1.89
2025-03-27 16:51:15.558,0.87,-0.93,-0.35,0.17
2025-03-27 16:51:15.574,-0.87,0.79,0.16,1.51
2025-03-27 16:51:15.579,0.86,0.66,-0.13,-1.01
2025-03-27 16:51:15.591,1.21,0.65,1.51,-0.91
2025-03-27 16:51:15.608,1.19,0.73,-1.25,-1.73
2025-03-27 16:51:15.612,1.35,-1.11,0.51,-0.63
2025-03-27 16:51:15.617,-1.99,-1.26,1.49,-1.85
2025-03-27 16:51:15.641,0.82,0.65,1.57,0.77
2025-03-27 16:51:15.645,0.14,-0.25,0.58,-0.74
2025-03-27 16:51:15.650,1.89,0.67,-0.16,0.85
2025-03-27 16:51:15.658,-0.52,1.31,0.21,1.36
2025-03-27 16:51:15.674,0.52,-0.91,1.96,-1.79
2025-03-27 16:51:15.679,0.17,0.57,-1.24,1.79
2025-03-27 16:51:15.691,-1.05,-1.21,1.54,-1.7
2025-03-27 16:51:15.708,-1.4,-0.81,0.56,1.44
2025-03-27 16:51:15.712,-1.75,1.78,-0.89,1.97
